X,Y,FID,Actief,Type,Locatie,Code,Naam,Aanduiding,Straat,Wijk,Plaatsnaam,Gemeente,Beheerder,Objectgroe,Typenummer,Bouwjaar,Levensduur
4.34607287338144,51.981098979012543,118,TRUE,Speelplek,2202-22 - Nairobiplaats/Kenyattastraat,2202-22,Nairobiplaats/Kenyattastraat,Speelplaats,Nairobiplaats/Kenyattastraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,15
4.379630311945097,52.007160032936639,119,TRUE,Speelplek,2802-12 - Nassauplein,2802-12,Nassauplein,Speel/trap,Nassauplein,Wippolder 28,Delft,Delft,Gemeente, , ,2003,15
4.34403986264523,51.982463720801789,120,TRUE,Speelplek,2202-21 - Nigeriastraat,2202-21,Nigeriastraat,Speel/trap,Nigeriastraat / de Bron,Tanthof west 22,Delft,Delft,Gemeente, , ,2007,15
4.328005352353801,52.012015344345706,121,TRUE,Speelplek,2614-11 - Noweetuinen,2614-11,Noweetuinen,Speelplaats,Noweetuinen,Harnaschpolder,Delft,Delft,Gemeente, , ,2016,12
4.350595550590986,51.979517604465059,122,TRUE,Speelplek,2204-27 - Oe Thanstraat,2204-27,Oe Thanstraat,Speelplaats,Oe Thanstraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2016,15
4.343195343615929,51.984054805234287,123,TRUE,Speelplek,2202-11 - Oliver Tombapad trapveld,2202-11,Oliver Tombapad trapveld,Trapveld,Oliver Tombopad,Tanthof west 22,Delft,Delft,Gemeente, , ,2003,14
4.370925418113975,52.011366294963196,124,TRUE,Speelplek,1207-02 - Oostblok,1207-02,Oostblok,Speelplaats,Oostblok,Vrijenban 12,Delft,Delft,Gemeente, , ,2002,16
4.36268721392969,52.01599423669068,125,TRUE,Speelplek,1204-07 - Oostsingel,1204-07,Oostsingel,Speelplaats,Oostsingel,Vrijenban 12,Delft,Delft,Gemeente, , ,2010,11
4.366617352628006,52.012050017279705,126,TRUE,Speelplek,1108-31 - Oranjestraat,1108-31,Oranjestraat,Speel/trap,Oranjestraat,Binnenstad,Delft,Delft,Gemeente, , ,2001,20
4.351926592009166,51.985359474402031,127,TRUE,Speelplek,2203-05 - Orinocostraat,2203-05,Orinocostraat,Speelplaats,Orinocostraat,Tanthof west 22,Delft,Delft,Gemeente, , ,2009,12
4.369001196850386,52.017051891705194,128,TRUE,Speelplek,1206-08 - Oude IJsbaan,1206-08,Oude IJsbaan,Speelplaats,Oude IJsbaan,Vrijenban 12,Delft,Delft,Gemeente, , ,2011,12
4.369271341024665,52.017870769637192,129,TRUE,Speelplek,1206-08A - Oude IJsbaan trapveld,1206-08A,Oude IJsbaan trapveld,Trapveld,Oude IJsbaan,Vrijenban 12,Delft,Delft,Gemeente, , ,2014,20
4.358686919013959,52.016065156031203,130,TRUE,Speelplek,1103-22 - Paardenmarkt,1103-22,Paardenmarkt,Speelplaats,Paardenmarkt,Binnenstad,Delft,Delft,Gemeente, , ,2013,12
4.350627841645635,51.998848813527701,131,TRUE,Speelplek,2424-00 - Poptahof Waterspeeltuin,2424-00,Poptahof Waterspeeltuin,Speel/trap,Pad Van Troje,Voorhof 24,Delft,Delft,Gemeente, , ,2008,15
4.335581406831088,52.009143740322173,132,TRUE,Speelplek,1405-06 - Park Hof van Delft,1405-06,Park Hof van Delft,Speelplaats,Park Hof van Delft,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2002,15
4.334775679033541,52.009178247095463,133,TRUE,Speelplek,1405-06A - Park Hof van Delft trapveld,1405-06A,Park Hof van Delft trapveld,Trapveld,Park Hof van Delft,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2001,16
4.331863356224694,52.008862369355668,134,TRUE,Speelplek,1405-03A - Parkzoom,1405-03A,Parkzoom,Speelplaats,Parkzoom,Voordijkshoorn 14,Delft,Delft,Gemeente, , ,2019,15
4.36210136824001,52.017442447295686,135,TRUE,Speelplek,1204-08 - Pieter de Hooghstraat,1204-08,Pieter de Hooghstraat,Speelplaats,Pieter de Hooghstraat,Vrijenban 12,Delft,Delft,Gemeente, , ,2006,12
4.351732532786426,52.019234866661108,136,TRUE,Speelplek,1101-17 - Pieter Hendrikstraat,1101-17,Pieter Hendrikstraat,Speelplaats,Pieter Hendrikstraat,Binnenstad,Delft,Delft,Gemeente, , ,2010,15
